Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_254,Class_3,20.70 ,0.30 ,348.60 ,2355360.00 ,1060563.60 ,4193.70 ,102749.70 ,8376884.10 ,11504472.30 ,67536.90 ,2037.90 ,14.40 ,46.80 ,199.20 ,5813.70 ,7.50 ,5.40 ,797.10 ,8945.40 ,0.30 ,0.00 ,1436.10 ,629.10 ,3146.70 ,1189.20 ,1.50 ,9.00 ,0.30 ,0.90 ,90.60 ,176.40 ,0.30 ,1.20 ,0.30 ,0.90 
S_255,Class_3,10.80 ,0.00 ,404.40 ,1463302.50 ,851260.80 ,951.90 ,108042.90 ,7370051.70 ,10986882.30 ,43673.40 ,486.90 ,7.20 ,21.30 ,148.20 ,4370.10 ,7.20 ,212.40 ,676.80 ,7589.40 ,0.30 ,0.30 ,958.50 ,561.90 ,2550.60 ,686.40 ,3.00 ,6.30 ,0.00 ,0.00 ,65.70 ,98.70 ,2.70 ,0.30 ,0.00 ,0.90 
S_256,Class_3,18.30 ,0.00 ,620.70 ,1430516.10 ,705563.10 ,1618.50 ,59754.90 ,6109750.80 ,8507406.90 ,53522.40 ,450.60 ,9.00 ,49.50 ,123.30 ,4494.90 ,6.30 ,19.20 ,466.20 ,6445.50 ,0.30 ,0.60 ,1098.00 ,497.40 ,2061.00 ,940.20 ,42.00 ,12.60 ,0.00 ,0.30 ,55.50 ,60.60 ,25.20 ,6.00 ,0.30 ,1.20 
S_257,Class_3,13.20 ,0.00 ,485.70 ,1940080.80 ,1051721.70 ,992.40 ,119102.40 ,9737243.70 ,12804047.70 ,108435.00 ,795.00 ,11.10 ,54.00 ,180.60 ,5400.30 ,8.10 ,17.40 ,947.70 ,8960.70 ,0.90 ,0.90 ,1254.60 ,694.50 ,3456.60 ,1065.30 ,6.30 ,15.60 ,0.00 ,0.30 ,84.90 ,114.60 ,6.00 ,0.30 ,0.30 ,0.90 
S_258,Class_3,15.60 ,0.00 ,409.20 ,1665040.80 ,905665.50 ,691.80 ,96480.90 ,8046027.90 ,11655944.40 ,47495.70 ,505.50 ,5.40 ,9.90 ,163.20 ,4078.50 ,8.10 ,480.00 ,677.40 ,8412.60 ,0.30 ,0.30 ,1292.40 ,666.60 ,2846.70 ,723.60 ,7.80 ,6.90 ,0.30 ,0.30 ,66.00 ,72.00 ,5.70 ,0.60 ,0.30 ,0.60 
S_259,Class_3,15.60 ,0.00 ,583.80 ,1619341.80 ,717732.90 ,1419.30 ,120817.80 ,5967354.00 ,8036286.90 ,42806.40 ,466.50 ,5.70 ,23.70 ,152.10 ,6180.00 ,5.40 ,33.30 ,655.50 ,7024.50 ,0.30 ,0.00 ,998.40 ,470.70 ,2090.70 ,869.10 ,2.70 ,5.10 ,0.30 ,0.00 ,48.90 ,80.40 ,2.70 ,0.30 ,0.30 ,1.20 
S_260,Class_3,10.20 ,0.00 ,326.70 ,1332068.10 ,828899.70 ,1629.60 ,117952.80 ,7158272.10 ,10455434.10 ,50066.40 ,486.90 ,6.90 ,30.00 ,184.50 ,4838.70 ,7.80 ,643.50 ,2041.80 ,7918.50 ,0.00 ,0.30 ,986.10 ,535.50 ,2461.50 ,697.50 ,3.00 ,8.40 ,0.00 ,0.30 ,62.40 ,117.60 ,3.00 ,0.30 ,0.00 ,1.80 
S_261,Class_3,22.80 ,0.00 ,675.60 ,2100024.00 ,810828.60 ,851.10 ,118868.10 ,6903781.80 ,9273435.60 ,91940.40 ,456.90 ,9.60 ,98.40 ,206.70 ,5030.10 ,7.20 ,35.70 ,557.70 ,8040.00 ,0.30 ,0.00 ,1280.70 ,525.00 ,2343.00 ,1939.80 ,2.10 ,7.20 ,0.00 ,0.30 ,55.80 ,82.80 ,2.40 ,0.30 ,0.30 ,1.50 
S_262,Class_3,17.40 ,0.30 ,521.70 ,1806712.50 ,731550.60 ,2729.10 ,114285.90 ,6400933.50 ,8740597.50 ,49974.60 ,538.50 ,7.50 ,81.60 ,187.50 ,4691.40 ,5.10 ,16.50 ,500.10 ,6488.70 ,0.30 ,0.00 ,1398.00 ,453.30 ,2274.60 ,983.40 ,2.70 ,7.20 ,0.30 ,0.00 ,53.10 ,37.50 ,2.40 ,0.30 ,0.30 ,0.00 
S_263,Class_3,15.60 ,0.30 ,483.00 ,1636406.40 ,751004.10 ,1375.20 ,112906.50 ,6390137.40 ,8402792.70 ,50992.80 ,426.00 ,6.00 ,11.10 ,156.90 ,3869.40 ,5.40 ,16.50 ,546.00 ,7790.40 ,0.30 ,0.00 ,1209.00 ,492.30 ,2192.40 ,1060.20 ,2.10 ,4.80 ,0.00 ,0.00 ,51.60 ,63.60 ,2.40 ,0.60 ,0.30 ,5.70 
S_264,Class_3,17.40 ,0.30 ,520.50 ,1750261.50 ,753363.60 ,974.70 ,123241.50 ,6555918.90 ,8877879.90 ,47015.40 ,441.30 ,5.40 ,9.90 ,138.30 ,4087.50 ,5.10 ,12.90 ,544.50 ,6851.70 ,0.30 ,0.00 ,1089.30 ,484.20 ,2318.10 ,927.90 ,1.50 ,4.20 ,0.00 ,0.00 ,53.40 ,55.20 ,1.80 ,0.60 ,0.30 ,3.90 
S_265,Class_3,16.80 ,0.00 ,518.70 ,1709217.60 ,776179.50 ,1024.50 ,105667.50 ,6616247.10 ,8961424.50 ,46165.20 ,436.50 ,6.00 ,26.10 ,164.40 ,3871.50 ,5.40 ,514.20 ,579.90 ,7192.50 ,0.30 ,0.00 ,1160.40 ,524.70 ,2339.40 ,909.30 ,6.00 ,5.10 ,0.00 ,0.00 ,54.00 ,43.20 ,4.80 ,0.60 ,0.30 ,0.60 
S_266,Class_3,24.60 ,0.00 ,846.60 ,2204938.50 ,1050678.90 ,1592.70 ,72773.70 ,8811178.50 ,12600717.60 ,53036.10 ,512.40 ,8.40 ,6.60 ,165.60 ,5007.60 ,7.80 ,78.90 ,671.10 ,8405.10 ,0.60 ,0.30 ,969.60 ,680.40 ,3093.90 ,1030.50 ,25.80 ,9.30 ,0.30 ,0.30 ,78.90 ,48.00 ,18.30 ,3.00 ,0.30 ,1.20 
S_267,Class_3,12.30 ,0.30 ,460.20 ,1673829.60 ,1032807.30 ,1712.40 ,111138.90 ,9411571.20 ,13373732.70 ,60790.80 ,628.20 ,9.60 ,60.90 ,207.30 ,5992.80 ,8.10 ,9.30 ,692.10 ,8856.60 ,0.30 ,0.00 ,1049.40 ,660.90 ,3231.00 ,985.50 ,5.40 ,9.00 ,0.30 ,0.60 ,80.40 ,81.60 ,4.20 ,0.30 ,0.00 ,0.90 
S_268,Class_3,26.40 ,0.00 ,901.50 ,2186370.00 ,1081668.00 ,2209.50 ,60695.10 ,9126393.60 ,12864260.70 ,73428.60 ,598.50 ,9.30 ,15.00 ,183.60 ,5864.70 ,8.40 ,19.20 ,667.50 ,9088.80 ,0.30 ,1.20 ,992.10 ,712.80 ,3155.70 ,1543.20 ,83.70 ,15.30 ,0.30 ,0.60 ,81.60 ,29.70 ,49.20 ,10.50 ,0.30 ,0.60 
S_269,Class_3,20.10 ,0.00 ,596.70 ,1633222.80 ,820257.90 ,707.10 ,87781.50 ,7221377.10 ,10278720.90 ,62218.80 ,454.20 ,8.40 ,39.90 ,162.90 ,4551.00 ,6.90 ,189.60 ,689.70 ,7563.00 ,0.30 ,0.00 ,1223.10 ,579.30 ,2446.50 ,1092.30 ,8.70 ,11.10 ,0.30 ,0.30 ,63.00 ,57.30 ,6.30 ,0.90 ,0.30 ,0.90 
S_270,Class_3,16.50 ,0.30 ,485.10 ,1764718.80 ,1062590.10 ,879.60 ,112939.20 ,9648297.90 ,13711149.90 ,45042.00 ,636.90 ,8.40 ,90.00 ,146.40 ,7755.00 ,10.20 ,18.90 ,748.80 ,9246.30 ,0.30 ,0.30 ,956.10 ,717.90 ,3307.20 ,701.70 ,7.20 ,6.90 ,0.00 ,0.00 ,82.20 ,51.60 ,6.00 ,0.30 ,0.30 ,0.60 
S_271,Class_3,20.10 ,0.30 ,591.30 ,2059007.10 ,997402.20 ,2139.90 ,114894.30 ,8376345.90 ,12165305.10 ,70197.30 ,515.70 ,10.20 ,29.70 ,199.80 ,5228.10 ,7.20 ,13.80 ,695.70 ,7492.20 ,0.60 ,0.30 ,1163.40 ,593.40 ,2907.60 ,1279.50 ,3.60 ,12.30 ,0.30 ,0.30 ,72.90 ,171.60 ,3.00 ,0.30 ,0.30 ,0.60 
S_272,Class_3,23.40 ,0.00 ,666.30 ,1993536.30 ,1056742.80 ,2246.70 ,105797.40 ,9419164.50 ,13471114.50 ,66012.90 ,656.70 ,9.00 ,12.90 ,222.30 ,5181.30 ,10.50 ,134.40 ,745.50 ,9226.20 ,0.60 ,0.30 ,1239.90 ,673.80 ,3410.70 ,1322.10 ,3.90 ,12.00 ,0.00 ,0.30 ,75.60 ,57.00 ,3.60 ,0.00 ,0.30 ,0.30 
S_273,Class_3,21.00 ,0.00 ,427.80 ,2023829.40 ,952180.20 ,4508.40 ,113008.50 ,7575747.60 ,10873971.90 ,64523.40 ,1472.40 ,14.10 ,98.10 ,182.70 ,4626.90 ,8.40 ,12.30 ,777.00 ,8141.70 ,0.30 ,0.00 ,1294.80 ,661.50 ,2789.40 ,1483.50 ,0.30 ,13.50 ,0.30 ,0.30 ,72.60 ,59.10 ,2.10 ,0.90 ,0.00 ,2.10 
S_274,Class_3,35.70 ,0.60 ,960.00 ,3129604.50 ,1503933.00 ,1153.20 ,330359.10 ,15234890.70 ,20054174.70 ,114884.10 ,1075.80 ,18.30 ,23.40 ,267.60 ,8606.70 ,12.60 ,22.50 ,1135.80 ,11777.10 ,0.30 ,0.30 ,1324.80 ,1014.00 ,4875.30 ,2148.60 ,1.20 ,8.40 ,1.20 ,0.90 ,120.30 ,44.10 ,7.80 ,0.90 ,0.30 ,3.90 
S_275,Class_3,30.00 ,0.00 ,773.70 ,2597619.60 ,1190809.50 ,1210.50 ,50552.40 ,11150411.10 ,14238758.40 ,85585.20 ,686.10 ,17.10 ,149.70 ,225.60 ,10709.40 ,14.70 ,8.10 ,1264.80 ,12199.50 ,0.30 ,0.30 ,1183.20 ,813.90 ,3891.60 ,1711.80 ,57.90 ,21.00 ,0.00 ,0.90 ,101.10 ,39.30 ,63.60 ,8.70 ,0.60 ,1.80 
S_276,Class_3,16.50 ,0.30 ,348.60 ,1757490.90 ,993835.50 ,1225.50 ,121124.70 ,7994161.50 ,11419188.00 ,60183.30 ,760.80 ,9.60 ,17.10 ,166.80 ,4925.10 ,9.00 ,5.70 ,893.70 ,8671.50 ,0.00 ,0.30 ,1168.50 ,636.90 ,3070.20 ,1141.80 ,0.60 ,6.90 ,0.30 ,0.30 ,79.50 ,49.80 ,2.40 ,1.20 ,0.30 ,1.50 
S_277,Class_3,18.30 ,0.60 ,345.60 ,1872994.20 ,1084254.60 ,8528.40 ,147811.80 ,11250708.00 ,14378613.00 ,65470.20 ,2893.20 ,13.50 ,228.60 ,152.40 ,6128.70 ,11.10 ,20.10 ,900.90 ,9396.30 ,0.00 ,0.30 ,1145.40 ,842.40 ,3495.60 ,1057.50 ,1.20 ,19.20 ,6.30 ,0.30 ,90.60 ,66.30 ,7.80 ,0.30 ,0.30 ,8.40 
S_278,Class_3,13.50 ,0.60 ,276.00 ,1286504.10 ,680139.60 ,5493.00 ,212643.90 ,7625029.20 ,8902143.60 ,70322.40 ,2125.80 ,12.30 ,172.80 ,138.90 ,4567.20 ,7.20 ,13.80 ,638.10 ,5765.10 ,0.30 ,0.30 ,1102.20 ,537.60 ,2126.40 ,1106.10 ,0.30 ,14.70 ,2.40 ,0.30 ,54.00 ,70.20 ,5.70 ,0.00 ,0.30 ,2.40 
S_279,Class_3,25.20 ,0.00 ,813.00 ,2367557.70 ,1059494.10 ,915.30 ,125346.60 ,8598222.90 ,12665743.80 ,76174.50 ,557.70 ,11.70 ,9.90 ,175.50 ,5047.80 ,8.70 ,13.50 ,706.80 ,9169.50 ,0.30 ,0.00 ,1030.50 ,757.80 ,2931.60 ,1730.70 ,1.80 ,7.80 ,0.30 ,0.00 ,74.40 ,71.10 ,2.40 ,0.60 ,0.00 ,4.20 
S_280,Class_3,30.90 ,0.60 ,813.60 ,2814600.00 ,1346887.80 ,6218.10 ,156946.20 ,13858594.50 ,18591666.90 ,87311.40 ,2408.70 ,19.20 ,83.70 ,225.60 ,10272.90 ,15.30 ,14.10 ,1454.40 ,13999.50 ,0.30 ,0.30 ,1029.00 ,968.40 ,4277.70 ,1849.50 ,0.60 ,22.50 ,9.60 ,0.30 ,113.40 ,36.60 ,6.60 ,0.00 ,0.30 ,6.60 
S_281,Class_3,21.60 ,0.00 ,438.30 ,2065665.00 ,928291.20 ,2530.50 ,114678.30 ,7500701.40 ,9948836.70 ,56445.00 ,1387.50 ,9.00 ,28.50 ,172.80 ,4702.20 ,8.70 ,5.40 ,765.90 ,8425.20 ,0.30 ,0.00 ,1222.50 ,618.00 ,2714.10 ,1245.60 ,0.30 ,8.70 ,0.30 ,0.00 ,69.00 ,41.10 ,3.00 ,0.60 ,0.30 ,1.50 
S_282,Class_3,22.50 ,0.00 ,509.40 ,2400656.70 ,1305294.30 ,547.50 ,122404.50 ,10240958.70 ,15420522.00 ,73039.50 ,614.70 ,12.30 ,27.60 ,228.30 ,8583.90 ,15.60 ,3.90 ,1323.90 ,12419.40 ,0.30 ,0.00 ,1343.40 ,825.00 ,4276.20 ,1459.80 ,0.00 ,12.30 ,0.00 ,0.30 ,112.20 ,32.70 ,3.00 ,0.90 ,0.60 ,0.60 
S_283,Class_3,37.80 ,0.60 ,986.40 ,3302606.10 ,1312742.10 ,6270.90 ,235413.30 ,13012351.50 ,16855866.90 ,112788.60 ,2385.60 ,12.90 ,55.50 ,220.20 ,6781.50 ,11.10 ,14.10 ,1128.00 ,11340.30 ,0.30 ,0.60 ,1251.90 ,927.90 ,4095.90 ,2118.60 ,0.00 ,11.70 ,9.00 ,0.30 ,104.10 ,87.60 ,4.80 ,0.30 ,0.30 ,3.30 
S_284,Class_3,29.10 ,0.60 ,770.10 ,2825706.30 ,1284063.30 ,1596.90 ,264446.70 ,13262367.00 ,17323644.00 ,118410.90 ,1133.10 ,15.90 ,65.70 ,236.40 ,7621.80 ,13.50 ,134.70 ,1195.20 ,11750.10 ,0.30 ,0.00 ,1338.90 ,938.10 ,4152.00 ,1898.70 ,1.50 ,11.70 ,2.10 ,0.60 ,103.50 ,220.20 ,8.10 ,0.00 ,0.30 ,3.00 
S_285,Class_3,18.90 ,0.30 ,433.20 ,2093759.70 ,1048085.10 ,380.10 ,121595.70 ,8238733.20 ,11556383.70 ,65958.60 ,493.80 ,9.60 ,51.60 ,197.70 ,4362.00 ,9.30 ,4.50 ,745.50 ,9375.30 ,0.00 ,0.00 ,1065.90 ,675.60 ,3227.10 ,1376.40 ,0.00 ,9.30 ,0.00 ,0.30 ,80.70 ,33.00 ,3.30 ,0.90 ,0.30 ,4.80 
S_286,Class_3,27.30 ,0.60 ,710.10 ,2752585.50 ,1175322.00 ,1258.50 ,526500.30 ,11558532.60 ,15502836.60 ,81164.10 ,997.20 ,16.50 ,72.60 ,190.50 ,7115.40 ,10.80 ,12.30 ,1121.10 ,9720.60 ,0.00 ,0.30 ,1280.70 ,891.30 ,3521.70 ,1817.10 ,0.00 ,12.60 ,2.70 ,0.30 ,90.00 ,61.20 ,4.50 ,1.20 ,0.30 ,2.40 
S_287,Class_3,22.20 ,0.00 ,632.70 ,2066682.90 ,1044652.20 ,1162.50 ,64647.00 ,9242703.30 ,13213710.30 ,46922.70 ,562.20 ,11.40 ,9.60 ,163.20 ,7814.40 ,9.60 ,18.90 ,888.30 ,10471.50 ,0.30 ,0.90 ,1107.60 ,668.10 ,3212.40 ,779.40 ,30.60 ,12.60 ,0.60 ,0.30 ,83.40 ,26.70 ,20.40 ,4.50 ,0.30 ,0.90 
S_288,Class_3,30.60 ,0.90 ,678.00 ,2956937.70 ,1314902.10 ,704.10 ,557091.00 ,13109823.90 ,18030267.30 ,62655.60 ,870.30 ,15.00 ,41.10 ,204.00 ,7249.80 ,13.50 ,9.30 ,1285.80 ,11796.00 ,0.30 ,0.00 ,1386.90 ,849.60 ,4235.10 ,1200.00 ,0.30 ,11.40 ,8.40 ,0.30 ,110.70 ,34.20 ,4.20 ,1.50 ,0.60 ,3.90 
S_289,Class_3,36.30 ,0.30 ,815.10 ,2050629.00 ,1046308.80 ,1083.00 ,251630.70 ,9523042.50 ,13004658.60 ,56775.30 ,815.70 ,8.10 ,23.70 ,139.20 ,5364.00 ,9.90 ,6.90 ,775.80 ,9017.70 ,0.30 ,0.30 ,1053.90 ,776.70 ,3175.80 ,1107.00 ,5.70 ,7.20 ,1.80 ,0.00 ,81.00 ,52.80 ,18.00 ,1.50 ,0.30 ,1.20 
S_290,Class_3,30.30 ,0.00 ,898.80 ,3111836.10 ,1375884.00 ,544.80 ,103062.00 ,10486761.30 ,14848662.00 ,105606.00 ,693.00 ,16.20 ,30.30 ,228.30 ,8422.50 ,12.00 ,89.10 ,1565.10 ,12212.70 ,0.30 ,0.00 ,1112.40 ,864.00 ,4078.80 ,3320.70 ,7.50 ,13.50 ,0.00 ,0.30 ,104.10 ,40.20 ,12.30 ,2.10 ,0.30 ,0.60 
S_291,Class_3,37.80 ,0.60 ,1005.30 ,3189328.50 ,1223080.50 ,1496.70 ,441354.00 ,11281444.50 ,14840939.70 ,79425.90 ,1081.20 ,16.20 ,64.20 ,191.10 ,5526.60 ,9.00 ,52.50 ,1059.00 ,9849.90 ,0.00 ,0.30 ,1094.70 ,814.50 ,3549.00 ,2019.90 ,0.30 ,8.70 ,1.20 ,0.30 ,86.40 ,61.20 ,6.00 ,1.20 ,0.30 ,2.40 
S_292,Class_3,35.40 ,0.60 ,864.00 ,3477483.60 ,1347897.30 ,862.80 ,514038.90 ,12639660.00 ,17205711.90 ,88821.60 ,912.30 ,10.20 ,15.90 ,241.80 ,7959.90 ,10.50 ,81.90 ,1282.20 ,10945.20 ,0.30 ,0.30 ,1822.80 ,894.30 ,4181.40 ,1640.10 ,0.60 ,9.60 ,0.90 ,2.70 ,104.40 ,71.40 ,4.20 ,1.50 ,0.30 ,1.80 
S_293,Class_3,38.10 ,0.60 ,798.90 ,2608831.50 ,1118723.40 ,780.30 ,402230.40 ,10805783.10 ,14378966.10 ,82861.80 ,810.90 ,9.90 ,25.20 ,210.90 ,5340.90 ,10.80 ,257.70 ,1159.80 ,9659.40 ,0.30 ,0.30 ,1398.30 ,794.10 ,3605.70 ,1851.90 ,0.30 ,9.60 ,4.80 ,1.20 ,84.00 ,65.70 ,6.00 ,0.90 ,0.30 ,3.90 
S_294,Class_3,26.40 ,0.60 ,583.80 ,2727617.70 ,1312694.10 ,762.60 ,466520.70 ,13235747.10 ,16924294.20 ,61700.10 ,882.30 ,12.60 ,50.70 ,177.30 ,6130.20 ,12.30 ,11.40 ,1104.00 ,11054.70 ,0.00 ,0.00 ,1317.60 ,962.40 ,4071.30 ,1138.50 ,0.00 ,10.20 ,0.90 ,0.00 ,103.20 ,28.20 ,6.30 ,1.20 ,0.60 ,4.50 
S_295,Class_3,24.90 ,0.30 ,528.00 ,2580144.60 ,1184787.60 ,3323.10 ,120719.40 ,9436089.00 ,13416440.40 ,57136.50 ,1278.00 ,9.90 ,57.30 ,197.70 ,7116.60 ,10.20 ,12.60 ,1176.00 ,10137.90 ,0.00 ,0.30 ,1305.00 ,775.20 ,3512.70 ,1345.50 ,0.90 ,16.20 ,0.00 ,0.60 ,93.60 ,18.60 ,1.80 ,0.90 ,0.30 ,1.50 
S_296,Class_3,23.70 ,0.60 ,543.60 ,2138251.20 ,1007597.10 ,908.70 ,476903.70 ,9975700.20 ,13001606.40 ,57374.40 ,819.60 ,10.80 ,55.50 ,162.00 ,4846.50 ,7.20 ,60.60 ,798.00 ,7371.60 ,0.00 ,0.30 ,1492.50 ,670.20 ,3070.80 ,1089.90 ,0.00 ,6.90 ,3.90 ,0.30 ,81.30 ,19.80 ,6.00 ,1.50 ,0.30 ,1.80 
S_297,Class_3,21.30 ,0.00 ,458.10 ,1906296.30 ,926484.30 ,628.80 ,109275.00 ,7445102.40 ,10140936.90 ,51763.20 ,658.50 ,10.80 ,78.30 ,137.40 ,4496.40 ,8.10 ,154.80 ,1054.80 ,8150.40 ,0.30 ,0.00 ,1429.50 ,610.80 ,2664.90 ,1126.20 ,0.60 ,12.00 ,0.00 ,0.30 ,72.30 ,79.50 ,3.00 ,0.60 ,0.30 ,0.00 
S_298,Class_3,17.10 ,0.30 ,565.80 ,1729610.40 ,859993.80 ,2496.30 ,57338.40 ,8112412.20 ,10741924.80 ,80350.80 ,1185.00 ,13.80 ,34.50 ,180.30 ,5459.10 ,8.40 ,156.00 ,1185.30 ,9378.60 ,0.30 ,0.00 ,788.10 ,604.50 ,2739.00 ,1320.90 ,4.80 ,12.60 ,0.60 ,2.40 ,69.00 ,72.90 ,4.50 ,0.30 ,0.30 ,8.40 
S_299,Class_3,21.00 ,0.30 ,587.10 ,2365512.30 ,1144896.30 ,1500.90 ,65663.10 ,11041313.70 ,14279205.60 ,63014.70 ,932.70 ,14.10 ,36.30 ,196.20 ,7589.10 ,11.70 ,85.50 ,1483.80 ,12042.30 ,0.00 ,0.00 ,1347.00 ,777.00 ,3744.30 ,1025.70 ,1.50 ,15.00 ,0.30 ,0.60 ,96.00 ,39.60 ,3.00 ,0.30 ,0.60 ,7.20 
S_300,Class_3,26.40 ,0.30 ,694.80 ,2353155.90 ,1041855.00 ,802.20 ,67141.80 ,9561187.20 ,12712730.70 ,74562.60 ,680.10 ,10.80 ,21.00 ,191.40 ,5858.10 ,11.40 ,806.40 ,4428.90 ,11041.80 ,0.00 ,0.00 ,1193.70 ,780.00 ,3276.60 ,1260.90 ,1.80 ,10.80 ,0.30 ,1.20 ,80.40 ,128.10 ,3.30 ,0.30 ,0.30 ,9.00 
S_301,Class_3,49.80 ,0.30 ,1227.90 ,3019774.50 ,1255874.70 ,805.20 ,59831.70 ,11830532.70 ,15614229.90 ,172594.50 ,682.80 ,21.30 ,17.40 ,291.90 ,7996.80 ,15.30 ,92.70 ,1290.60 ,12626.40 ,0.30 ,0.00 ,1426.50 ,940.80 ,4406.10 ,4099.80 ,2.70 ,15.90 ,0.00 ,0.60 ,97.20 ,79.80 ,4.20 ,0.30 ,0.60 ,9.90 
S_302,Class_3,29.10 ,0.30 ,763.20 ,2349533.40 ,886363.80 ,1608.90 ,61909.80 ,7754019.30 ,10251837.00 ,80200.80 ,894.90 ,13.20 ,64.50 ,184.80 ,5607.60 ,7.50 ,154.50 ,780.90 ,8642.70 ,0.30 ,0.00 ,945.30 ,582.90 ,2688.90 ,1483.80 ,2.10 ,13.20 ,0.90 ,0.90 ,63.60 ,48.60 ,3.30 ,0.30 ,0.30 ,14.10 
S_303,Class_3,34.80 ,0.30 ,819.00 ,2327702.40 ,1098982.20 ,561.00 ,2138.40 ,10692638.70 ,13243568.10 ,127340.40 ,732.30 ,12.90 ,59.10 ,182.40 ,6156.60 ,8.40 ,185.10 ,1752.00 ,9653.40 ,0.60 ,0.90 ,1137.60 ,812.10 ,3300.00 ,1536.90 ,37.20 ,15.30 ,0.00 ,0.30 ,86.70 ,39.00 ,28.50 ,5.70 ,0.30 ,0.60 
S_304,Class_3,23.40 ,0.30 ,735.90 ,2234600.70 ,911614.80 ,702.60 ,64286.10 ,8138748.00 ,10676420.70 ,75669.00 ,568.80 ,12.00 ,38.40 ,182.10 ,4526.10 ,7.80 ,101.40 ,824.70 ,9140.10 ,0.00 ,0.00 ,957.60 ,637.20 ,2851.50 ,1471.50 ,2.10 ,12.00 ,0.00 ,0.60 ,67.80 ,39.60 ,3.60 ,0.30 ,0.30 ,7.20 
S_305,Class_3,14.40 ,0.00 ,411.30 ,1372104.60 ,829719.60 ,1338.60 ,33740.40 ,8211816.60 ,10014729.60 ,79791.30 ,657.30 ,7.50 ,23.10 ,157.80 ,13662.00 ,7.50 ,61.80 ,765.90 ,7321.50 ,0.60 ,0.90 ,959.70 ,596.40 ,2621.70 ,769.50 ,17.10 ,10.20 ,0.00 ,0.30 ,65.40 ,37.80 ,13.20 ,2.10 ,0.30 ,3.00 
S_306,Class_3,28.80 ,0.30 ,900.60 ,2542457.10 ,1065444.30 ,661.20 ,64867.50 ,9151030.80 ,11787492.60 ,117002.10 ,590.70 ,12.90 ,42.60 ,221.70 ,5373.90 ,9.00 ,87.00 ,881.10 ,9534.90 ,0.00 ,0.00 ,1281.90 ,733.80 ,3124.20 ,2290.80 ,3.60 ,14.10 ,0.00 ,0.60 ,78.00 ,46.20 ,4.80 ,0.30 ,0.30 ,9.00 
S_307,Class_3,21.60 ,0.30 ,713.10 ,2179963.50 ,1203641.10 ,985.20 ,38354.40 ,10289121.00 ,13670918.10 ,95804.40 ,717.90 ,15.30 ,49.80 ,194.70 ,5408.10 ,7.50 ,99.30 ,876.00 ,9811.20 ,0.30 ,0.30 ,1514.40 ,793.20 ,3767.70 ,1515.60 ,48.90 ,16.80 ,0.30 ,0.60 ,96.60 ,86.70 ,43.50 ,6.60 ,0.60 ,7.20 
S_308,Class_3,32.40 ,0.00 ,1033.20 ,2503979.70 ,1165007.10 ,1094.10 ,32205.30 ,9939782.10 ,12813162.60 ,113637.30 ,645.60 ,16.80 ,45.60 ,220.80 ,5450.40 ,9.90 ,128.70 ,1102.20 ,10152.60 ,0.30 ,0.60 ,1332.90 ,774.90 ,3427.20 ,2398.50 ,76.80 ,20.10 ,0.60 ,1.50 ,86.40 ,44.10 ,65.40 ,9.00 ,0.60 ,18.00 
S_309,Class_3,15.00 ,0.30 ,533.70 ,1988786.70 ,779662.20 ,2698.50 ,161197.20 ,7107890.40 ,9335145.00 ,103089.90 ,737.10 ,10.50 ,23.40 ,175.80 ,4218.60 ,6.00 ,14.40 ,1771.50 ,7296.00 ,0.30 ,0.30 ,1013.10 ,475.50 ,2518.80 ,1311.90 ,3.60 ,7.20 ,0.60 ,0.30 ,61.50 ,29.70 ,3.90 ,0.30 ,0.30 ,0.30 
S_310,Class_3,9.00 ,0.00 ,528.90 ,1779417.90 ,950038.80 ,1799.10 ,188566.50 ,8616010.80 ,11185554.90 ,119683.50 ,837.90 ,10.50 ,21.90 ,205.50 ,5172.60 ,8.40 ,145.50 ,1317.90 ,8609.40 ,0.60 ,0.60 ,1037.40 ,626.70 ,3015.90 ,1307.70 ,1.80 ,7.20 ,0.30 ,0.30 ,73.20 ,48.30 ,3.00 ,0.60 ,0.30 ,0.30 
S_311,Class_3,12.60 ,0.30 ,470.70 ,1548475.20 ,762266.10 ,2067.30 ,58590.90 ,7741880.70 ,9794143.80 ,67116.00 ,1082.10 ,9.30 ,29.70 ,189.60 ,5620.20 ,7.50 ,90.30 ,741.60 ,7499.70 ,0.00 ,0.00 ,1064.70 ,575.40 ,2582.70 ,1038.60 ,3.90 ,9.60 ,1.20 ,0.60 ,63.60 ,84.00 ,4.80 ,0.30 ,0.30 ,9.00 
S_312,Class_3,13.20 ,0.00 ,600.90 ,2091247.50 ,1037167.20 ,1596.00 ,138971.40 ,9939060.30 ,12885920.70 ,99234.30 ,825.30 ,11.70 ,23.40 ,201.00 ,6653.40 ,9.00 ,40.20 ,951.00 ,8770.20 ,0.30 ,0.60 ,1163.70 ,754.50 ,3400.20 ,1205.70 ,4.50 ,10.50 ,0.00 ,0.30 ,81.90 ,28.80 ,5.40 ,0.00 ,0.30 ,0.60 
