Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_213,Class_3,12.60 ,0.00 ,279.38 ,1751690.03 ,844166.49 ,1033.61 ,1035.02 ,10908241.77 ,11467767.16 ,35113.81 ,182.36 ,10.93 ,20.50 ,186.80 ,5993.70 ,12.18 ,14.78 ,1108.47 ,12129.14 ,0.00 ,0.05 ,2345.02 ,1069.95 ,2879.53 ,747.23 ,5.19 ,16.30 ,0.26 ,1.86 ,65.80 ,15.45 ,9.15 ,0.24 ,0.57 ,1.52 
S_214,Class_3,13.40 ,0.00 ,324.48 ,1858689.28 ,933189.09 ,1148.83 ,10256.63 ,12495720.64 ,13007292.72 ,40708.70 ,144.25 ,10.42 ,35.86 ,177.19 ,6666.92 ,12.35 ,19.36 ,1207.92 ,16459.86 ,0.00 ,0.96 ,1746.72 ,1271.16 ,3272.10 ,784.22 ,6.12 ,16.01 ,0.00 ,0.35 ,69.38 ,13.94 ,12.07 ,0.00 ,0.73 ,0.45 
S_215,Class_3,13.28 ,0.00 ,300.64 ,1691824.82 ,1141394.57 ,1556.95 ,9859.16 ,13548368.68 ,13329759.13 ,30584.34 ,192.37 ,15.54 ,23.61 ,229.42 ,5046.26 ,11.85 ,8.34 ,1013.24 ,13212.97 ,0.08 ,0.00 ,2351.01 ,1427.64 ,3531.23 ,573.25 ,6.94 ,10.66 ,0.00 ,0.00 ,75.37 ,10.61 ,15.42 ,0.06 ,0.78 ,0.11 
S_216,Class_3,17.23 ,0.00 ,294.57 ,1335221.33 ,826038.61 ,1199.19 ,22062.07 ,11277582.42 ,11326934.93 ,26823.10 ,179.32 ,13.29 ,44.17 ,152.93 ,6443.33 ,9.83 ,20.10 ,1335.33 ,16870.00 ,0.00 ,0.05 ,2215.73 ,1057.46 ,2930.00 ,537.82 ,7.15 ,10.68 ,0.00 ,0.70 ,66.83 ,14.74 ,12.83 ,1.11 ,0.55 ,1.26 
S_217,Class_3,10.93 ,0.00 ,252.62 ,1589110.88 ,877179.65 ,1242.31 ,27135.98 ,11381376.12 ,11554383.23 ,30605.91 ,127.28 ,3.09 ,31.62 ,171.71 ,5381.68 ,11.99 ,7.41 ,1059.66 ,13142.42 ,0.43 ,0.06 ,1538.91 ,1363.40 ,2959.24 ,616.92 ,5.61 ,11.14 ,0.00 ,0.01 ,57.85 ,10.69 ,12.88 ,0.08 ,0.60 ,0.00 
S_218,Class_3,12.02 ,0.00 ,250.01 ,1468534.45 ,780766.03 ,1539.57 ,17147.19 ,9860044.25 ,10543782.76 ,29904.23 ,214.58 ,3.50 ,34.00 ,173.21 ,6972.89 ,9.70 ,12.45 ,887.27 ,13839.38 ,0.00 ,0.05 ,1782.66 ,1004.17 ,2707.66 ,653.87 ,6.46 ,12.98 ,0.08 ,2.10 ,52.62 ,11.18 ,11.85 ,0.00 ,0.49 ,6.37 
S_219,Class_3,12.81 ,0.00 ,304.56 ,1725224.19 ,1010031.52 ,1252.17 ,19384.36 ,12181091.46 ,12172828.08 ,42333.76 ,201.86 ,7.68 ,35.93 ,236.93 ,6471.76 ,14.37 ,12.79 ,1098.03 ,15790.77 ,0.00 ,0.05 ,1499.92 ,1454.50 ,3183.97 ,821.33 ,7.01 ,17.11 ,0.00 ,1.25 ,57.70 ,11.77 ,14.19 ,0.00 ,0.67 ,0.08 
S_220,Class_3,34.58 ,0.22 ,917.93 ,2279000.08 ,1333363.92 ,887.71 ,22421.81 ,9929387.91 ,8357827.99 ,38863.57 ,158.50 ,13.20 ,19.34 ,190.34 ,6202.70 ,12.64 ,16.61 ,1122.95 ,16894.46 ,0.00 ,0.00 ,3748.71 ,1416.55 ,4696.81 ,847.01 ,165.90 ,14.43 ,0.41 ,0.28 ,126.92 ,10.44 ,118.87 ,6.88 ,1.17 ,0.70 
S_221,Class_3,23.14 ,0.30 ,571.78 ,2041489.78 ,1048986.10 ,1364.40 ,21108.95 ,7783260.52 ,6256560.44 ,36824.88 ,143.64 ,16.16 ,13.42 ,230.18 ,5538.49 ,13.48 ,19.63 ,1165.41 ,20406.68 ,0.75 ,0.46 ,3120.28 ,1319.56 ,3583.26 ,702.05 ,114.10 ,15.01 ,0.17 ,0.77 ,87.81 ,15.44 ,90.15 ,5.16 ,1.32 ,1.97 
S_222,Class_3,21.52 ,0.09 ,512.52 ,1593286.37 ,1160865.18 ,1173.55 ,20821.69 ,8566567.67 ,7068514.47 ,29549.46 ,209.46 ,9.93 ,10.51 ,232.94 ,5653.21 ,13.34 ,16.95 ,1257.42 ,18289.69 ,1.49 ,0.00 ,3720.07 ,1349.43 ,4031.92 ,498.24 ,78.25 ,13.06 ,0.24 ,1.13 ,105.15 ,8.18 ,67.71 ,4.41 ,1.05 ,1.20 
